epoch,training_loss,training_accuracy,validation_loss,validation_accuracy,current_lr,epoch_time
1,2.6758038242550874,0.5723656502695418,1.6718464336395265,0.7776,0.0009755282581475768,63.76459360122681
2,2.106990018944856,0.6584294979784366,1.6434407539367675,0.7964,0.0009045084971874736,64.14972615242004
3,2.0525475107434623,0.6728436657681941,1.626421734237671,0.8002,0.0007938926261462366,64.41522598266602
4,2.0164141529653916,0.6820038746630728,1.6240728561401367,0.8031,0.0006545084971874737,64.91232180595398
5,1.9949518879147552,0.687278891509434,1.61552237033844,0.805,0.0005,64.73599219322205
6,1.981521284805154,0.6925644373315364,1.6111323059082032,0.8081,0.00034549150281252633,64.67305135726929
7,1.9675664406902384,0.6959442385444744,1.6058231224060058,0.8091,0.0002061073738537635,64.24506044387817
8,1.9544418905623198,0.6998504885444744,1.6029443305969238,0.8114,9.549150281252634e-05,64.71972870826721
9,1.9486399249567818,0.7014824797843666,1.600435767364502,0.8098,2.4471741852423235e-05,65.33698105812073
10,1.9408213504241163,0.7044621799191375,1.5998654987335206,0.8103,0.0,64.63072395324707
